汉语单词,拼音,定义
爱情,ài qíng,romance; love (romantic); CL:個|个[ge4]
安排,ān pái,to arrange; to plan; to set up
安全,ān quán,safe; secure; safety; security
暗,àn,dark; gloomy; hidden; secret; muddled; obscure; in the dark
按时,àn shí,on time; before deadline; on schedule
按照,àn zhào,according to; in accordance with; in the light of; on the basis of
包括,bāo kuò,to comprise; to include; to involve; to incorporate; to consist of
保护,bǎo hù,to protect; to defend; to safeguard; protection; CL:種|种[zhong3]
保证,bǎo zhèng,guarantee; to guarantee; to ensure; to safeguard; to pledge; CL:個|个[ge4]
抱,bào,to hold; to carry (in one's arms); to hug or embrace; surround; cherish
